代码,名称,交易所,板块,行业,地域板块,概念题材,最新价,涨跌幅,成交额,振幅,最高,昨收,最低,今开,量比,换手率
600036,招商银行,上交所,沪市主板,银行Ⅱ,广东板块,"深圳特区,互联网金融,跨境支付",37.88,-0.05,2723485937.0,0.63,38.09,37.9,37.85,37.96,0.72,0.35
600038,中直股份,上交所,沪市主板,航空装备Ⅱ,黑龙江,"航天航空,军工,通用航空,央国企改革,无人机,军民融合,大飞机,飞行汽车(eVTOL),低空经济",31.24,-0.19,180947918.0,1.31,31.39,31.3,30.98,31.27,0.61,0.87
600066,宇通客车,上交所,沪市主板,商用车,河南板块,"燃料电池概念,无人驾驶,新能源车,车联网(车路云),汽车整车,电池技术",36.0,0.47,528070313.0,2.37,36.38,35.83,35.53,35.55,0.82,0.66
600096,云天化,上交所,沪市主板,农化制品,云南板块,"煤化工概念,化工原料,新材料,锂电池概念,西部大开发,央国企改革,氟化工概念,一带一路,碳交易,磷化工,电池技术",34.48,0.85,1191500593.0,1.99,34.68,34.19,34.0,34.04,0.69,1.9
600114,东睦股份,上交所,沪市主板,通用设备,浙江板块,"新材料,长江三角,3D打印,特斯拉概念,苹果概念,燃料电池概念,小米概念,华为概念,机器人概念,光通信模块,柔性屏(折叠屏),英伟达概念,电池技术",35.16,0.17,491437832.0,2.14,35.46,35.1,34.71,34.95,0.64,2.27
600141,兴发集团,上交所,沪市主板,农化制品,湖北板块,"化工原料,稀缺资源,参股银行,锂电池概念,央国企改革,氟化工概念,氢能源,半导体概念,湖北自贸,中芯概念,草甘膦,有机硅概念,固态电池,磷化工,电池技术",34.69,2.85,1701767053.0,3.79,34.87,33.73,33.59,33.73,1.12,4.11
600160,巨化股份,上交所,沪市主板,化学制品,浙江板块,"创投,化工原料,锂电池概念,长江三角,央国企改革,氟化工概念,国产芯片,半导体概念,中芯概念,碳交易,工业气体,PVDF概念,液冷概念,电池技术",35.2,0.11,1069039004.0,1.65,35.38,35.16,34.8,34.9,0.81,1.13
600171,上海贝岭,上交所,沪市主板,半导体,上海板块,"参股券商,物联网,LED概念,智能电网,长江三角,央国企改革,充电桩,华为概念,国产芯片,无线耳机,半导体概念,第三代半导体,IGBT概念,光通信模块,存储芯片,消费电子概念,电网概念,通信技术",30.25,1.61,686843457.0,3.96,30.28,29.77,29.1,29.32,1.09,3.26
600176,中国巨石,上交所,沪市主板,玻璃玻纤,浙江板块,"新材料,风能,央国企改革,一带一路,PCB,PEEK材料概念,DeepSeek概念",38.1,0.74,4981997618.0,4.97,38.38,37.82,36.5,37.0,0.94,3.32
600206,有研新材,上交所,沪市主板,半导体,北京板块,"新能源,新材料,稀土永磁,3D打印,医疗器械概念,央国企改革,小金属概念,5G概念,OLED,华为概念,国产芯片,传感器,半导体概念,尾气治理,中芯概念,存储芯片,通信技术",31.12,-2.51,3061432627.0,3.98,31.92,31.92,30.65,30.99,0.92,11.64
600298,安琪酵母,上交所,沪市主板,调味发酵品Ⅱ,湖北板块,"央国企改革,湖北自贸,长寿药,化妆品概念,合成生物",36.7,-1.5,496708764.0,2.79,37.4,37.26,36.36,37.17,1.34,1.58
600316,洪都航空,上交所,沪市主板,航空装备Ⅱ,江西板块,"航天航空,军工,通用航空,央国企改革,航母概念,大飞机,低空经济",34.36,0.41,473990376.0,3.36,34.65,34.22,33.5,34.0,0.72,1.94
600323,瀚蓝环境,上交所,沪市主板,环境治理,广东板块,"节能环保,创投,央国企改革,PPP模式,天然气,垃圾分类,碳交易,油气资源",30.97,-1.9,209934310.0,3.9,31.83,31.57,30.6,31.4,0.84,0.83
600330,天通股份,上交所,沪市主板,电子化学品Ⅱ,浙江板块,"新材料,锂电池概念,LED概念,光伏概念,长江三角,特斯拉概念,蓝宝石,小金属概念,充电桩,5G概念,OLED,超清视频,PCB,国产芯片,新能源车,半导体概念,MicroLED,无线充电,商业航天,储能概念,CPO概念,光通信模块,消费电子概念,电池技术,通信技术",35.07,7.38,6926168604.0,10.1,35.3,32.66,32.0,32.0,0.94,16.43
