维度,检查项,建议口径,为什么重要
目标,适用交易,隔夜短线/次日冲高卖,尾盘法本质是为次日处理做准备
目标,适用风格,短线纪律型,不适合无止损长期死拿
基础筛选,市场,沪深主板优先,降低极端波动干扰
基础筛选,股价,10-60元优先,兼顾流动性和操作性
基础筛选,成交额,15亿元以上更稳 20亿元以上更佳,保证尾盘不是小资金乱拉
基础筛选,换手率,1%-8%,太低不活跃 太高容易过热
基础筛选,量比,0.8-2.0,低于0.8偏冷 高于2.0要防情绪过热
基础筛选,涨跌幅,0%到+4%优先,涨太少偏弱 涨太多次日易兑现
基础筛选,振幅,1.5%-5%,有波动才有隔夜空间 太大又不稳
尾盘结构,收盘位置,尽量靠近日内高位,说明尾盘没有明显撤退
尾盘结构,分时均价,收盘在分时均价上方,说明尾盘整体偏强
尾盘结构,最后30分钟,横住或缓慢抬升优于跳水,尾盘强弱直接影响次日承接
尾盘结构,最后3根5分钟K,至少2根不走弱,避免尾盘一路回落
加分项,尾盘回流,14:30后量能温和放大,说明有新增资金回流
加分项,板块带动,所在板块尾盘同步偏强,孤立走强通常不如板块共振
加分项,不过热,不是接近涨停的极端强票,防止次日高开低走
剔除条件,尾盘跳水,14:30后明显跌破分时均价,次日承接容易转弱
剔除条件,冲高回落,收盘离最高点太远,说明上方抛压较大
剔除条件,无量拉升,尾盘直线拉升但全天量能不足,容易是假强
剔除条件,情绪过热,当天接近涨停或换手极高,次日盈亏比通常变差
剔除条件,消息不明,突发刺激但逻辑不清,容易只剩博弈
次日执行,开盘观察,09:35-10:00先看承接,不要集合竞价冲动追
次日执行,高点预期,09:35-10:15和10:45-11:20最常见,很多隔夜票高点容易出现在上午
次日执行,卖点逻辑,冲高分批卖,不要赌全天最高点
次日执行,止损逻辑,跌破前一日关键承接位就执行,尾盘法失效要认错
仓位,首笔试仓,5%-10%,尾盘股不适合第一次就重仓
仓位,单票上限,15%-20%,避免一只票打乱账户节奏
复盘,复盘重点,尾盘形态+次日承接+最终结果,要复盘哪种尾盘结构最有效
核心原则,一句话,尾盘强不等于次日必涨 关键是次日承接,尾盘法是提高概率 不是保证结果

