场景,建议仓位,执行规则,风险提示
空仓试错第一笔,10%,仅用于确认节奏和手感 不因一次看好就重仓,第一笔的目标是试错不是赚钱最大化
首次建仓后走势符合预期,20%,站稳计划位且量价配合后再加第二笔,不要因为一两笔小涨就追着加
强势确认后继续加仓,30%-40%,只对最强的1只票考虑继续加仓 且分批完成,总仓位不要一下拉满
普通练手日总仓位,30%-40%,市场一般时保持中低仓位 方便进退,仓位越重 容错越低
看不懂盘面时,0%-10%,没有清晰计划就少动或不动,空仓本身也是一种操作
单票观察仓,5%-10%,用于提前埋伏或验证判断,观察仓不等于可以无限补
单票标准仓,10%-15%,适合大多数练手票,单票超过15%前必须有充分理由
单票重仓上限,20%,只有非常熟悉且走势确认的票才允许接近上限,新手不建议频繁重仓单票
冲高减仓,减至原仓位的50%-70%,达到计划压力位或冲高乏力时落袋,卖飞比深套更容易纠正
跌破止损位,减仓或清仓,跌破计划位且无法快速收回立即执行,不要把纪律变成参考意见
做T回补仓位,原减仓数量以内,只接回当天卖出的同等或更少数量,做T失败时不要越做越大
连续两笔做错后,停止开新仓,当天只允许处理已有持仓,情绪失控时继续交易通常更差
连续三天盈利后,仓位不主动放大,先确认盈利来自纪律而不是运气,盈利后最容易自信过度
连续两天大亏后,仓位降到10%以内,暂停激进操作 回到观察和复盘模式,先修正节奏再谈赚回来
市场普涨强势日,40%-50%,只在自己熟悉的强趋势环境下适度提高仓位,强市也不能满仓乱追
市场弱势震荡日,10%-30%,以低吸快出和防守为主,弱市里重仓最容易被反复消耗
市场情绪极差日,0%-10%,优先保住本金 可以不做,不是每天都必须交易
已有深套票时,新开仓从严,除非出现明确机会 否则先处理旧仓风险,旧仓压力大会干扰新仓判断
