交易所,板块,代码,市场代码,名称,空字段f1,最新价,涨跌额,涨跌幅,流通市场代码,成交量,成交额,振幅,最高,昨收,最低,今开,量比,换手率,市盈率,市净率,行业,地域板块,概念题材
上交所,沪市主板,600000,1,浦发银行,2,9.08,0.01,0.11,2,1223571,1109690085.0,1.32,9.13,9.07,9.01,9.04,1.04,0.37,4.23,0.4,银行Ⅱ,上海板块,"长江三角,互联网金融,蚂蚁概念,跨境支付"
上交所,沪市主板,600004,1,白云机场,2,8.3,-0.03,-0.36,2,84098,69873442.0,1.08,8.36,8.33,8.27,8.33,0.79,0.36,31.89,1.01,航空机场,广东板块,"粤港自贸,央国企改革,免税概念"
上交所,沪市主板,600006,1,东风股份,2,6.58,-0.28,-4.08,2,284777,188815847.0,4.37,6.84,6.86,6.54,6.84,1.33,1.42,16.01,1.65,商用车,湖北板块,"燃料电池概念,央国企改革,一带一路,人工智能,无人驾驶,冷链物流,氢能源,新能源车,车联网(车路云),地摊经济,湖北自贸,汽车芯片,汽车整车,汽车一体化压铸,新型工业化,首发经济,电池技术"
上交所,沪市主板,600007,1,中国国贸,2,21.68,0.63,2.99,2,51287,107353799.0,7.41,21.79,21.05,20.23,21.05,1.74,0.51,17.87,2.17,房地产开发,北京板块,
上交所,沪市主板,600008,1,首创环保,2,3.08,0.0,0.0,2,764652,234451887.0,1.3,3.09,3.08,3.05,3.08,0.89,1.04,13.16,1.07,环境治理,北京板块,"节能环保,央国企改革,PPP模式,海绵城市,雄安新区,垃圾分类,医废处理,REITs概念,绿色电力,地下管网,土壤修复,机器人概念,DeepSeek概念"
上交所,沪市主板,600009,1,上海机场,2,25.57,-0.5,-1.92,2,123552,316660993.0,2.22,26.03,26.07,25.45,26.03,1.07,0.6,27.53,1.48,航空机场,上海板块,"长江三角,上海自贸,央国企改革,免税概念,零售概念"
上交所,沪市主板,600010,1,包钢股份,2,2.59,-0.06,-2.26,2,5378282,1401281133.0,2.26,2.64,2.65,2.58,2.63,0.55,1.71,-63.38,2.27,普钢,内蒙古,"稀土永磁,西部大开发,央国企改革,氟化工概念,小金属概念,一带一路,华为概念,数据中心,雅下水电概念"
上交所,沪市主板,600011,1,华能国际,2,7.5,-0.03,-0.4,2,1397749,1044706024.0,2.39,7.57,7.53,7.39,7.47,0.64,1.27,6.56,1.68,电力,河北板块,"核能核电,光伏概念,风能,央国企改革,一带一路,雄安新区,绿色电力,超超临界发电"
上交所,沪市主板,600012,1,皖通高速,2,15.64,-0.24,-1.51,2,37245,58284700.0,2.02,15.85,15.88,15.53,15.7,1.01,0.32,12.45,2.0,铁路公路,安徽板块,央国企改革
上交所,沪市主板,600015,1,华夏银行,2,6.6,0.0,0.0,2,676163,447773284.0,1.21,6.66,6.6,6.58,6.59,0.87,0.44,5.27,0.33,银行Ⅱ,北京板块,"互联网金融,蚂蚁概念,跨境支付"
上交所,沪市主板,600016,1,民生银行,2,3.57,-0.04,-1.11,2,2433437,868093571.0,1.94,3.61,3.61,3.54,3.61,1.39,0.69,3.39,0.27,银行Ⅱ,北京板块,"参股券商,互联网金融,跨境支付"
上交所,沪市主板,600017,1,日照港,2,2.82,-0.03,-1.05,2,294930,83202896.0,1.4,2.84,2.85,2.8,2.83,0.78,0.96,22.74,0.62,航运港口,山东板块,"央国企改革,一带一路"
上交所,沪市主板,600018,1,上港集团,2,5.06,-0.04,-0.78,2,508094,257133542.0,1.37,5.1,5.1,5.03,5.09,0.95,0.22,7.35,0.81,航运港口,上海板块,"参股银行,长江三角,上海自贸,沪企改革,央国企改革,体育产业,一带一路,免税概念,F5G概念,零售概念"
上交所,沪市主板,600019,1,宝钢股份,2,6.09,-0.13,-2.09,2,1357845,828130014.0,2.89,6.22,6.22,6.04,6.22,1.25,0.62,14.91,0.64,普钢,上海板块,"参股银行,长江三角,特斯拉概念,央国企改革,一带一路,航母概念,区块链,低碳冶金"
上交所,沪市主板,600020,1,中原高速,2,3.92,0.0,0.0,2,104164,40566996.0,1.79,3.93,3.92,3.86,3.91,0.74,0.46,6.0,0.74,铁路公路,河南板块,"创投,参股银行,参股保险,央国企改革,充电桩,化债(AMC)概念"
上交所,沪市主板,600021,1,上海电力,2,16.77,-0.17,-1.0,2,418584,701521882.0,1.95,16.94,16.94,16.61,16.78,0.57,1.48,20.86,2.27,电力,上海板块,"新能源,核能核电,光伏概念,长江三角,风能,央国企改革,天然气,氢能源,碳交易,储能概念,绿色电力,油气资源"
上交所,沪市主板,600022,1,山东钢铁,2,1.39,0.01,0.72,2,808970,111126504.0,2.17,1.39,1.38,1.36,1.38,0.96,0.76,-17.05,0.79,普钢,山东板块,"央国企改革,人工智能,机器人概念"
上交所,沪市主板,600023,1,浙能电力,2,6.15,0.08,1.32,2,1029335,631468979.0,2.64,6.2,6.07,6.04,6.08,1.24,0.77,21.77,1.07,电力,浙江板块,"核能核电,央国企改革,超超临界发电,可控核聚变"
上交所,沪市主板,600025,1,华能水电,2,9.53,0.02,0.21,2,287968,274230206.0,1.37,9.58,9.51,9.45,9.46,0.62,0.15,28.76,2.5,电力,云南板块,"新能源,光伏概念,西部大开发,风能,水利建设,央国企改革,绿色电力"
上交所,沪市主板,600026,1,中远海能,2,21.48,-0.39,-1.78,2,524196,1115454908.0,4.02,21.7,21.87,20.82,21.41,0.77,1.37,13.5,2.43,航运港口,上海板块,"海洋经济,央国企改革,一带一路"
上交所,沪市主板,600027,1,华电国际,2,5.38,0.04,0.75,2,1358777,726967410.0,2.25,5.39,5.34,5.27,5.3,0.68,1.47,8.73,1.25,电力,山东板块,"新能源,风能,央国企改革,虚拟电厂,绿色电力,超超临界发电"
上交所,沪市主板,600028,1,中国石化,2,5.14,0.01,0.19,2,1940929,993664068.0,1.17,5.15,5.13,5.09,5.13,0.67,0.2,9.14,0.75,炼化及贸易,北京板块,"页岩气,央国企改革,一带一路,天然气,氢能源,碳交易,油气资源"
上交所,沪市主板,600029,1,南方航空,2,5.23,-0.14,-2.61,2,1349579,705628817.0,2.61,5.33,5.37,5.19,5.33,1.16,1.0,16.0,2.56,航空机场,广东板块,"参股银行,通用航空,央国企改革,华为概念,免税概念,零售概念"
上交所,沪市主板,600030,1,中信证券,2,26.16,-0.19,-0.72,2,1018635,2665343627.0,1.71,26.43,26.35,25.98,26.21,0.7,0.84,9.49,1.33,证券Ⅱ,广东板块,"参股期货,参股银行,深圳特区,互联网金融,券商概念,华为概念,科创板做市商"
上交所,沪市主板,600031,1,三一重工,2,19.39,-1.07,-5.23,2,1158029,2269724155.0,5.82,20.4,20.46,19.21,20.4,0.96,1.37,17.97,1.97,工程机械,北京板块,"参股银行,一带一路,军民融合,工业互联,新能源车,工程机械概念,雅下水电概念"
上交所,沪市主板,600032,1,浙江新能,2,11.21,1.02,10.01,2,1154007,1258432940.0,12.07,11.21,10.19,9.98,10.0,1.18,4.8,237.31,2.1,电力,浙江板块,"新能源,光伏概念,风能,央国企改革,氢能源,抽水蓄能,绿色电力"
上交所,沪市主板,600033,1,福建高速,2,3.54,0.0,0.0,2,167112,59092190.0,0.85,3.55,3.54,3.52,3.54,0.75,0.61,9.5,0.77,铁路公路,福建板块,"参股银行,参股保险,央国企改革"
上交所,沪市主板,600035,1,楚天高速,2,3.84,0.02,0.52,2,64288,24531099.0,1.31,3.84,3.82,3.79,3.81,0.77,0.4,6.46,0.68,铁路公路,湖北板块,"创投,物联网,央国企改革,ETC,车联网(车路云),湖北自贸,REITs概念"
上交所,沪市主板,600036,1,招商银行,2,37.47,-0.18,-0.48,2,707684,2651016863.0,0.82,37.66,37.65,37.35,37.65,0.82,0.34,6.24,0.83,银行Ⅱ,广东板块,"深圳特区,互联网金融,跨境支付"
上交所,沪市主板,600037,1,歌华有线,2,7.9,0.08,1.02,2,253977,199971845.0,2.17,7.96,7.82,7.79,7.83,1.14,1.82,40.68,0.86,电视广播Ⅱ,北京板块,"网络游戏,物联网,云计算,智慧城市,大数据,在线教育,央国企改革,阿里概念,虚拟现实,数据中心,文娱消费"
上交所,沪市主板,600038,1,中直股份,2,29.85,-0.35,-1.16,2,60835,182472222.0,1.69,30.27,30.2,29.76,30.05,0.8,0.91,161.63,1.39,航空装备Ⅱ,黑龙江,"航天航空,军工,通用航空,央国企改革,无人机,军民融合,大飞机,飞行汽车(eVTOL),低空经济"
上交所,沪市主板,600039,1,四川路桥,2,7.96,0.0,0.0,2,349316,276228782.0,3.64,8.04,7.96,7.75,7.93,0.78,0.4,11.57,1.31,基础建设,四川板块,"工程建设,成渝特区,锂电池概念,西部大开发,央国企改革,一带一路,PPP模式,碳交易,磷化工,雅下水电概念,电池技术"
上交所,沪市主板,600048,1,保利发展,2,6.05,-0.16,-2.58,2,1361967,825805443.0,3.22,6.2,6.21,6.0,6.19,0.72,1.14,19.77,0.37,房地产开发,广东板块,"参股券商,养老概念,央国企改革,租售同权,REITs概念"
上交所,沪市主板,600050,1,中国联通,2,4.92,0.26,5.58,2,6724450,3275495498.0,5.15,5.0,4.66,4.76,4.77,1.9,2.17,18.0,0.9,通信服务,北京板块,"参股银行,物联网,移动支付,大数据,央国企改革,阿里概念,量子科技,5G概念,区块链,华为概念,超清视频,IPv6,WiFi,卫星互联网,数据中心,数据安全,算力概念,数据要素,通信技术"
上交所,沪市主板,600051,1,宁波联合,2,7.48,0.03,0.4,2,62027,45816861.0,2.42,7.49,7.45,7.31,7.48,0.77,2.0,107.84,0.68,综合Ⅱ,浙江板块,"长江三角,微盘股"
上交所,沪市主板,600052,1,东望时代,2,4.46,0.09,2.06,2,284033,123604241.0,4.35,4.46,4.37,4.27,4.34,0.82,3.36,-48.28,1.74,电力,浙江板块,"参股银行,锂电池概念,长江三角,央国企改革,体育产业,影视概念,储能概念,电池技术"
上交所,沪市主板,600053,1,*ST九鼎,2,9.6,-0.1,-1.03,2,68507,65183647.0,3.81,9.71,9.7,9.34,9.7,0.53,1.58,-30.42,1.87,多元金融,江西板块,"创投,机器人概念,人形机器人"
上交所,沪市主板,600054,1,黄山旅游,2,11.1,-0.26,-2.29,2,78407,87452470.0,2.29,11.35,11.36,11.09,11.34,1.12,1.53,58.45,1.69,旅游及景区,安徽板块,"旅游酒店,参股券商,长江三角,电商概念,央国企改革,旅游概念,IPO受益,人工智能,低空经济,文娱消费"
上交所,沪市主板,600055,1,万东医疗,2,13.24,-0.07,-0.53,2,61039,79761502.0,2.63,13.3,13.31,12.95,13.3,0.83,0.87,-146.05,2.1,医疗器械,北京板块,"大数据,医疗器械概念,阿里概念,互联医疗,AI制药（医疗）"
上交所,沪市主板,600056,1,中国医药,2,9.93,-0.14,-1.39,2,191172,189709199.0,2.18,10.08,10.07,9.86,10.07,0.69,1.28,20.38,1.24,医药商业,北京板块,"医疗器械概念,央国企改革,流感"
上交所,沪市主板,600057,1,厦门象屿,2,6.44,-0.22,-3.3,2,274906,178500485.0,3.75,6.64,6.66,6.39,6.63,1.06,1.31,8.77,1.16,物流,福建板块,"参股银行,土地流转,央国企改革,一带一路,冷链物流,农业种植,数据要素"
上交所,沪市主板,600058,1,五矿发展,2,11.1,0.29,2.68,2,178967,197134953.0,6.29,11.23,10.81,10.55,10.76,1.17,1.67,174.98,2.46,贸易Ⅱ,北京板块,"新材料,电商概念,央国企改革,小金属概念"
上交所,沪市主板,600059,1,古越龙山,2,8.43,-0.07,-0.82,2,65939,55736363.0,1.18,8.52,8.5,8.42,8.49,0.52,0.72,30.97,1.3,非白酒,浙江板块,"酿酒概念,参股银行,长江三角,电商概念,央国企改革,白酒,网红经济,啤酒概念,味蕾经济"
上交所,沪市主板,600060,1,海信视像,2,24.6,-0.87,-3.42,2,163371,406457147.0,6.05,26.0,25.47,24.46,25.8,1.52,1.26,13.59,1.47,黑色家电,山东板块,"节能环保,LED概念,智能穿戴,智能电视,智能家居,体育产业,人工智能,AI智能体,工业互联,电子竞技,超清视频,国产芯片,MiniLED,MicroLED,商业航天,元宇宙概念,机器人概念,多模态AI,AI眼镜,DeepSeek概念,消费电子概念,显示技术"
上交所,沪市主板,600061,1,国投资本,2,6.43,-0.07,-1.08,2,431602,277254607.0,2.46,6.53,6.5,6.37,6.48,0.99,0.68,13.43,0.75,多元金融,上海板块,"参股期货,长江三角,互联网金融,央国企改革,券商概念,雄安新区"
