交易所,板块,代码,市场代码,名称,空字段f1,最新价,涨跌额,涨跌幅,流通市场代码,成交量,成交额,振幅,最高,昨收,最低,今开,量比,换手率,市盈率,市净率,行业,地域板块,概念题材
上交所,沪市主板,600000,1,浦发银行,2,9.03,0.0,0.0,2,842643,760849230.0,0.66,9.07,9.03,9.01,9.04,0.92,0.25,4.21,0.4,银行Ⅱ,上海板块,"长江三角,互联网金融,蚂蚁概念,跨境支付"
上交所,沪市主板,600004,1,白云机场,2,8.52,-0.01,-0.12,2,72554,61830517.0,0.82,8.57,8.53,8.5,8.54,0.52,0.31,32.74,1.04,航空机场,广东板块,"粤港自贸,央国企改革,免税概念"
上交所,沪市主板,600006,1,东风股份,2,6.78,0.06,0.89,2,168025,113159068.0,2.38,6.82,6.72,6.66,6.74,0.78,0.84,16.49,1.7,商用车,湖北板块,"燃料电池概念,央国企改革,一带一路,人工智能,无人驾驶,冷链物流,氢能源,新能源车,车联网(车路云),地摊经济,湖北自贸,汽车芯片,汽车整车,汽车一体化压铸,新型工业化,首发经济,电池技术"
上交所,沪市主板,600007,1,中国国贸,2,21.65,-0.19,-0.87,2,25692,55463231.0,3.39,22.08,21.84,21.34,21.78,0.83,0.26,17.85,2.17,房地产开发,北京板块,
上交所,沪市主板,600008,1,首创环保,2,3.15,0.02,0.64,2,840311,264595355.0,1.28,3.16,3.13,3.12,3.13,1.01,1.14,13.45,1.09,环境治理,北京板块,"节能环保,央国企改革,PPP模式,海绵城市,雄安新区,垃圾分类,医废处理,REITs概念,绿色电力,地下管网,土壤修复,机器人概念,DeepSeek概念"
上交所,沪市主板,600009,1,上海机场,2,26.83,-0.18,-0.67,2,119950,322345193.0,0.96,27.06,27.01,26.8,27.02,1.03,0.59,28.89,1.55,航空机场,上海板块,"长江三角,上海自贸,央国企改革,免税概念,零售概念"
上交所,沪市主板,600010,1,包钢股份,2,2.8,0.03,1.08,2,7505452,2094374370.0,2.89,2.82,2.77,2.74,2.75,0.74,2.39,-68.52,2.46,普钢,内蒙古,"稀土永磁,西部大开发,央国企改革,氟化工概念,小金属概念,一带一路,华为概念,数据中心,雅下水电概念"
上交所,沪市主板,600011,1,华能国际,2,7.7,0.06,0.79,2,2568375,1975892994.0,2.75,7.8,7.64,7.59,7.64,1.54,2.34,6.74,1.73,电力,河北板块,"核能核电,光伏概念,风能,央国企改革,一带一路,雄安新区,绿色电力,超超临界发电"
上交所,沪市主板,600012,1,皖通高速,2,15.92,-0.12,-0.75,2,36878,58516738.0,2.56,16.12,16.04,15.71,16.08,0.89,0.32,12.68,2.04,铁路公路,安徽板块,央国企改革
上交所,沪市主板,600015,1,华夏银行,2,6.57,-0.01,-0.15,2,663720,436320842.0,0.91,6.61,6.58,6.55,6.59,0.63,0.43,5.24,0.33,银行Ⅱ,北京板块,"互联网金融,蚂蚁概念,跨境支付"
上交所,沪市主板,600016,1,民生银行,2,3.65,-0.03,-0.82,2,1706877,625557054.0,1.09,3.69,3.68,3.65,3.68,1.18,0.48,3.47,0.28,银行Ⅱ,北京板块,"参股券商,互联网金融,跨境支付"
上交所,沪市主板,600017,1,日照港,2,2.96,-0.01,-0.34,2,376037,111070709.0,1.01,2.97,2.97,2.94,2.97,1.44,1.22,23.87,0.65,航运港口,山东板块,"央国企改革,一带一路"
上交所,沪市主板,600018,1,上港集团,2,5.12,-0.02,-0.39,2,505274,258260759.0,1.17,5.14,5.14,5.08,5.13,0.9,0.22,7.43,0.82,航运港口,上海板块,"参股银行,长江三角,上海自贸,沪企改革,央国企改革,体育产业,一带一路,免税概念,F5G概念,零售概念"
上交所,沪市主板,600019,1,宝钢股份,2,6.35,-0.08,-1.24,2,941695,599847063.0,1.71,6.44,6.43,6.33,6.44,0.87,0.43,15.54,0.66,普钢,上海板块,"参股银行,长江三角,特斯拉概念,央国企改革,一带一路,航母概念,区块链,低碳冶金"
上交所,沪市主板,600020,1,中原高速,2,3.95,0.0,0.0,2,118841,46983577.0,0.76,3.97,3.95,3.94,3.96,0.72,0.53,6.05,0.75,铁路公路,河南板块,"创投,参股银行,参股保险,央国企改革,充电桩,化债(AMC)概念"
