标的,多氟多,江特电机,紫光股份
代码,002407,002176,000938
最新价,37.13,15.69,32.16
涨跌幅,+2.26%,-2.24%,+0.47%
换手率,11.19%,10.92%,6.03%
日内高点,37.49,16.23,33.06
日内低点,35.38,15.50,31.81
日内结构,13:20后横在37.02-37.15,13:20后围绕15.69窄幅磨,13:20后连续回落到32.12-32.16
当前节奏判断,强势横住,弱平衡,回落确认
第一笔10%,可以试,等确认,先别动
建议动作,首选；只在37.00-37.10不破时试10%；跌回36.90下方且收不回就放弃,次选；更适合等重新站稳15.74-15.75再说；想练手也只能很轻,暂缓；先看32.20附近能否止住；今天下午先别把第一笔交给它
建议动作+系统时间(2026-05-06 13:32:54),首选；多氟多已继续上冲到37.48附近，当前不追涨；只等回踩37.20-37.30稳住再试10%，跌回37.10下方收不回就放弃,次选；江特电机现围绕15.74横住，可继续观察；只有站稳15.74-15.75并放量上拱时才试10%，跌回15.70下方转弱就不做,暂缓；紫光股份仍在32.08附近弱修复，今天下午不适合先手；除非重新站回32.15上方并稳住，否则继续空仓
建议动作+系统时间(2026-05-06 13:51:08),首选但不追；多氟多已冲到39.00后回落到38.03附近，短线明显过热；现在只等回踩38.00附近能否稳住，若失守37.90就不接,次选观察；江特电机回到15.75附近，下午有修复但上冲不够强；若重新站稳15.80再看10%试仓，跌回15.72下方就继续空仓,偏稳但仍不急；紫光股份继续在32.16-32.23横住，承接还在但没转强；只有重新站上32.20并稳住才考虑第一笔，跌破32.15继续等
