项目,建议值,执行说明
总投入资金,100000,把这笔钱视为独立训练账户 不与生活资金混用
初始实际入市资金,40000,前期先动用4万 其余作为观察资金和备用现金
保留现金,60000,避免一开始满仓 给自己留回旋空间
单票初始仓位上限,10000-15000,单只票第一笔不超过总资金15%
单票总仓位上限,20000,同一只票即便看好 也不要超过总资金20%
同时持股数量,2-3只,先少后多 便于盯盘和复盘
每日最大开仓次数,1-2次,避免频繁出手导致节奏失控
每日最大亏损上限,1500-2000,达到即停止交易 保护账户曲线
单笔可承受亏损,500-1000,每笔先算错了最多亏多少 再决定能不能下单
优先标的类型,大中盘蓝筹 行业龙头 宽基ETF 活跃ETF,先做流动性好且波动可控的标的
暂时回避标的,连板股 妖股 冷门小票 高位情绪票,新手容易追高和被动套牢
练手核心模式,底仓做T 低吸高抛 波段试仓,先学会控制风险 再提高进攻性
是否适合满仓,否,至少连续稳定一个月前不考虑满仓
早盘观察时段,09:25-09:40,看高开低开 量能和第一波承接
上午关键时段,10:00-10:30,看当天方向是否成立
午后关键时段,13:00-13:30,看午后有没有资金回流
尾盘关键时段,14:30-15:00,看尾盘抢筹还是回落 作为隔夜判断依据
开仓前必问1,为什么买,必须说清楚是低吸 反抽 还是突破
开仓前必问2,买错怎么办,必须提前写出止损位
开仓前必问3,涨到哪先卖,必须提前写出止盈或减仓位
做T原则1,先有底仓再做T,A股普通股票是T+1 不要把它当真T+0乱做
做T原则2,每次只动小仓,先用总仓位的20%-30%做差价
做T原则3,做错就认,不要把做T变成补仓摊平
止损原则,跌破计划位且无法快速收回就执行,不靠幻想扛单
止盈原则,达到预设目标先落袋一部分,先学会卖 再追求卖最高
交易记录要求,每笔都写入交易明细和复盘备注,把经验沉淀成自己的规则
复盘要求,每天收盘后10-20分钟,记录做对了什么 做错了什么
第一阶段目标,连续20个交易日不出现大回撤,先活下来 再谈高收益
第二阶段目标,形成自己的固定模式,例如只做低吸或只做反抽
第三阶段目标,逐步提高仓位利用率,在稳定前提下慢慢放大收益
